id,StatoInfortunio,Locazione,Settore
11838,Grave,NordEst,Metallurgia
11289,Grave,NordEst,Metallurgia
11001,Grave,NordEst,Metallurgia
10887,Grave,NordEst,Metallurgia
10171,Grave,NordEst,Metallurgia
8174,Grave,NordEst,Metallurgia
8164,Grave,NordEst,Metallurgia
8162,Grave,NordEst,Metallurgia
8161,Grave,NordEst,Metallurgia
8149,Grave,NordEst,Metallurgia
8095,Grave,NordEst,Metallurgia
8090,Grave,NordEst,Metallurgia
8089,Grave,NordEst,Metallurgia
6361,Grave,NordEst,Metallurgia
6359,Grave,NordEst,Metallurgia
6291,Grave,NordEst,Metallurgia
6289,Grave,NordEst,Metallurgia
6266,Grave,NordEst,Metallurgia
6264,Grave,NordEst,Metallurgia
6260,Grave,NordEst,Metallurgia
6257,Grave,NordEst,Metallurgia
6249,Grave,NordEst,Metallurgia
6247,Grave,NordEst,Metallurgia
6228,Grave,NordEst,Metallurgia
6227,Grave,NordEst,Metallurgia
6224,Grave,NordEst,Metallurgia
6161,Grave,NordEst,Metallurgia
6158,Grave,NordEst,Metallurgia
6157,Grave,NordEst,Metallurgia
6083,Grave,NordEst,Metallurgia
6081,Grave,NordEst,Metallurgia
6069,Grave,NordEst,Metallurgia
6061,Grave,NordEst,Metallurgia
6043,Grave,NordEst,Metallurgia
5999,Grave,NordEst,Metallurgia
5982,Grave,NordEst,Metallurgia
5885,Grave,NordEst,Metallurgia
5876,Grave,NordEst,Metallurgia
5838,Grave,NordEst,Metallurgia
5799,Grave,NordEst,Metallurgia
5748,Grave,NordEst,Metallurgia
5727,Grave,NordEst,Metallurgia
5715,Grave,NordEst,Metallurgia
5707,Grave,NordEst,Metallurgia
5620,Grave,NordEst,Metallurgia
5611,Grave,NordEst,Metallurgia
5605,Grave,NordEst,Metallurgia
5077,Grave,NordEst,Metallurgia
5032,Grave,NordEst,Metallurgia
5022,Grave,NordEst,Metallurgia
5016,Grave,NordEst,Metallurgia
5014,Grave,NordEst,Metallurgia
5010,Grave,NordEst,Metallurgia
4999,Grave,NordEst,Metallurgia
4990,Grave,NordEst,Metallurgia
4969,Grave,NordEst,Metallurgia
4956,Grave,NordEst,Metallurgia
4954,Grave,NordEst,Metallurgia
4875,Grave,NordEst,Metallurgia
4526,Grave,NordEst,Metallurgia
4411,Grave,NordEst,Metallurgia
3793,Grave,NordEst,Metallurgia
3357,Grave,NordEst,Metallurgia
3345,Grave,NordEst,Metallurgia
3159,Grave,NordEst,Metallurgia
3114,Grave,NordEst,Metallurgia
10898,Grave,NordEst,FabbricazioneMacchine
8464,Grave,NordEst,FabbricazioneMacchine
8165,Grave,NordEst,FabbricazioneMacchine
6269,Grave,NordEst,FabbricazioneMacchine
6268,Grave,NordEst,FabbricazioneMacchine
6259,Grave,NordEst,FabbricazioneMacchine
6231,Grave,NordEst,FabbricazioneMacchine
6153,Grave,NordEst,FabbricazioneMacchine
6152,Grave,NordEst,FabbricazioneMacchine
6001,Grave,NordEst,FabbricazioneMacchine
5021,Grave,NordEst,FabbricazioneMacchine
5008,Grave,NordEst,FabbricazioneMacchine
5007,Grave,NordEst,FabbricazioneMacchine
4893,Grave,NordEst,FabbricazioneMacchine
4031,Grave,NordEst,FabbricazioneMacchine
4013,Grave,NordEst,FabbricazioneMacchine
3406,Grave,NordEst,FabbricazioneMacchine
3158,Grave,NordEst,FabbricazioneMacchine
10420,Grave,NordOvest,Metallurgia
10413,Grave,NordOvest,Metallurgia
10411,Grave,NordOvest,Metallurgia
10356,Grave,NordOvest,Metallurgia
10346,Grave,NordOvest,Metallurgia
8506,Grave,NordOvest,Metallurgia
8500,Grave,NordOvest,Metallurgia
8084,Grave,NordOvest,Metallurgia
8071,Grave,NordOvest,Metallurgia
8042,Grave,NordOvest,Metallurgia
6074,Grave,NordOvest,Metallurgia
6059,Grave,NordOvest,Metallurgia
6012,Grave,NordOvest,Metallurgia
6010,Grave,NordOvest,Metallurgia
5987,Grave,NordOvest,Metallurgia
5961,Grave,NordOvest,Metallurgia
5934,Grave,NordOvest,Metallurgia
5888,Grave,NordOvest,Metallurgia
5880,Grave,NordOvest,Metallurgia
5867,Grave,NordOvest,Metallurgia
5864,Grave,NordOvest,Metallurgia
5863,Grave,NordOvest,Metallurgia
5862,Grave,NordOvest,Metallurgia
5849,Grave,NordOvest,Metallurgia
5846,Grave,NordOvest,Metallurgia
5845,Grave,NordOvest,Metallurgia
5834,Grave,NordOvest,Metallurgia
5823,Grave,NordOvest,Metallurgia
5810,Grave,NordOvest,Metallurgia
5800,Grave,NordOvest,Metallurgia
5798,Grave,NordOvest,Metallurgia
5797,Grave,NordOvest,Metallurgia
5717,Grave,NordOvest,Metallurgia
5716,Grave,NordOvest,Metallurgia
5714,Grave,NordOvest,Metallurgia
5640,Grave,NordOvest,Metallurgia
5629,Grave,NordOvest,Metallurgia
5628,Grave,NordOvest,Metallurgia
5627,Grave,NordOvest,Metallurgia
5626,Grave,NordOvest,Metallurgia
5618,Grave,NordOvest,Metallurgia
5616,Grave,NordOvest,Metallurgia
5572,Grave,NordOvest,Metallurgia
5571,Grave,NordOvest,Metallurgia
5567,Grave,NordOvest,Metallurgia
5564,Grave,NordOvest,Metallurgia
5560,Grave,NordOvest,Metallurgia
5558,Grave,NordOvest,Metallurgia
5553,Grave,NordOvest,Metallurgia
5551,Grave,NordOvest,Metallurgia
5550,Grave,NordOvest,Metallurgia
5549,Grave,NordOvest,Metallurgia
5548,Grave,NordOvest,Metallurgia
5532,Grave,NordOvest,Metallurgia
5515,Grave,NordOvest,Metallurgia
5503,Grave,NordOvest,Metallurgia
5257,Grave,NordOvest,Metallurgia
5245,Grave,NordOvest,Metallurgia
4638,Grave,NordOvest,Metallurgia
4192,Grave,NordOvest,Metallurgia
3750,Grave,NordOvest,Metallurgia
3711,Grave,NordOvest,Metallurgia
3705,Grave,NordOvest,Metallurgia
3704,Grave,NordOvest,Metallurgia
3702,Grave,NordOvest,Metallurgia
3701,Grave,NordOvest,Metallurgia
3700,Grave,NordOvest,Metallurgia
3699,Grave,NordOvest,Metallurgia
3696,Grave,NordOvest,Metallurgia
3685,Grave,NordOvest,Metallurgia
3673,Grave,NordOvest,Metallurgia
3671,Grave,NordOvest,Metallurgia
3670,Grave,NordOvest,Metallurgia
3668,Grave,NordOvest,Metallurgia
3663,Grave,NordOvest,Metallurgia
3639,Grave,NordOvest,Metallurgia
3638,Grave,NordOvest,Metallurgia
3637,Grave,NordOvest,Metallurgia
3636,Grave,NordOvest,Metallurgia
3635,Grave,NordOvest,Metallurgia
3633,Grave,NordOvest,Metallurgia
3629,Grave,NordOvest,Metallurgia
3622,Grave,NordOvest,Metallurgia
3621,Grave,NordOvest,Metallurgia
3620,Grave,NordOvest,Metallurgia
3618,Grave,NordOvest,Metallurgia
3617,Grave,NordOvest,Metallurgia
3615,Grave,NordOvest,Metallurgia
3614,Grave,NordOvest,Metallurgia
3613,Grave,NordOvest,Metallurgia
3612,Grave,NordOvest,Metallurgia
3611,Grave,NordOvest,Metallurgia
3610,Grave,NordOvest,Metallurgia
3609,Grave,NordOvest,Metallurgia
3607,Grave,NordOvest,Metallurgia
3606,Grave,NordOvest,Metallurgia
3605,Grave,NordOvest,Metallurgia
3604,Grave,NordOvest,Metallurgia
3603,Grave,NordOvest,Metallurgia
3602,Grave,NordOvest,Metallurgia
3599,Grave,NordOvest,Metallurgia
3598,Grave,NordOvest,Metallurgia
3597,Grave,NordOvest,Metallurgia
3589,Grave,NordOvest,Metallurgia
3588,Grave,NordOvest,Metallurgia
3579,Grave,NordOvest,Metallurgia
3578,Grave,NordOvest,Metallurgia
3576,Grave,NordOvest,Metallurgia
3575,Grave,NordOvest,Metallurgia
3573,Grave,NordOvest,Metallurgia
3572,Grave,NordOvest,Metallurgia
3569,Grave,NordOvest,Metallurgia
3562,Grave,NordOvest,Metallurgia
3561,Grave,NordOvest,Metallurgia
3560,Grave,NordOvest,Metallurgia
3552,Grave,NordOvest,Metallurgia
3549,Grave,NordOvest,Metallurgia
3548,Grave,NordOvest,Metallurgia
3532,Grave,NordOvest,Metallurgia
3499,Grave,NordOvest,Metallurgia
3471,Grave,NordOvest,Metallurgia
2930,Grave,NordOvest,Metallurgia
2565,Grave,NordOvest,Metallurgia
2561,Grave,NordOvest,Metallurgia
1454,Grave,NordOvest,Metallurgia
1450,Grave,NordOvest,Metallurgia
1346,Grave,NordOvest,Metallurgia
1224,Grave,NordOvest,Metallurgia
1204,Grave,NordOvest,Metallurgia
1160,Grave,NordOvest,Metallurgia
1159,Grave,NordOvest,Metallurgia
716,Grave,NordOvest,Metallurgia
715,Grave,NordOvest,Metallurgia
714,Grave,NordOvest,Metallurgia
703,Grave,NordOvest,Metallurgia
11872,Grave,NordOvest,FabbricazioneMacchine
10326,Grave,NordOvest,FabbricazioneMacchine
8502,Grave,NordOvest,FabbricazioneMacchine
8080,Grave,NordOvest,FabbricazioneMacchine
5996,Grave,NordOvest,FabbricazioneMacchine
5959,Grave,NordOvest,FabbricazioneMacchine
5796,Grave,NordOvest,FabbricazioneMacchine
5786,Grave,NordOvest,FabbricazioneMacchine
5667,Grave,NordOvest,FabbricazioneMacchine
5657,Grave,NordOvest,FabbricazioneMacchine
5596,Grave,NordOvest,FabbricazioneMacchine
5595,Grave,NordOvest,FabbricazioneMacchine
5574,Grave,NordOvest,FabbricazioneMacchine
5511,Grave,NordOvest,FabbricazioneMacchine
5249,Grave,NordOvest,FabbricazioneMacchine
5246,Grave,NordOvest,FabbricazioneMacchine
3703,Grave,NordOvest,FabbricazioneMacchine
3695,Grave,NordOvest,FabbricazioneMacchine
3669,Grave,NordOvest,FabbricazioneMacchine
3665,Grave,NordOvest,FabbricazioneMacchine
3662,Grave,NordOvest,FabbricazioneMacchine
3661,Grave,NordOvest,FabbricazioneMacchine
3658,Grave,NordOvest,FabbricazioneMacchine
3628,Grave,NordOvest,FabbricazioneMacchine
3619,Grave,NordOvest,FabbricazioneMacchine
3600,Grave,NordOvest,FabbricazioneMacchine
3581,Grave,NordOvest,FabbricazioneMacchine
3553,Grave,NordOvest,FabbricazioneMacchine
3551,Grave,NordOvest,FabbricazioneMacchine
3550,Grave,NordOvest,FabbricazioneMacchine
3533,Grave,NordOvest,FabbricazioneMacchine
2558,Grave,NordOvest,FabbricazioneMacchine
1452,Grave,NordOvest,FabbricazioneMacchine
1446,Grave,NordOvest,FabbricazioneMacchine
1216,Grave,NordOvest,FabbricazioneMacchine
705,Grave,NordOvest,FabbricazioneMacchine
11195,Grave,Centro,Metallurgia
11194,Grave,Centro,Metallurgia
11190,Grave,Centro,Metallurgia
11182,Grave,Centro,Metallurgia
10698,Grave,Centro,Metallurgia
10697,Grave,Centro,Metallurgia
10696,Grave,Centro,Metallurgia
10689,Grave,Centro,Metallurgia
10668,Grave,Centro,Metallurgia
8489,Grave,Centro,Metallurgia
8479,Grave,Centro,Metallurgia
8477,Grave,Centro,Metallurgia
8450,Grave,Centro,Metallurgia
8310,Grave,Centro,Metallurgia
8212,Grave,Centro,Metallurgia
8206,Grave,Centro,Metallurgia
8111,Grave,Centro,Metallurgia
8101,Grave,Centro,Metallurgia
6375,Grave,Centro,Metallurgia
6319,Grave,Centro,Metallurgia
6316,Grave,Centro,Metallurgia
6313,Grave,Centro,Metallurgia
6305,Grave,Centro,Metallurgia
6301,Grave,Centro,Metallurgia
6298,Grave,Centro,Metallurgia
6263,Grave,Centro,Metallurgia
6250,Grave,Centro,Metallurgia
6223,Grave,Centro,Metallurgia
6207,Grave,Centro,Metallurgia
6206,Grave,Centro,Metallurgia
6186,Grave,Centro,Metallurgia
6180,Grave,Centro,Metallurgia
6176,Grave,Centro,Metallurgia
6172,Grave,Centro,Metallurgia
6111,Grave,Centro,Metallurgia
6100,Grave,Centro,Metallurgia
5940,Grave,Centro,Metallurgia
5914,Grave,Centro,Metallurgia
5899,Grave,Centro,Metallurgia
5881,Grave,Centro,Metallurgia
5853,Grave,Centro,Metallurgia
5773,Grave,Centro,Metallurgia
5770,Grave,Centro,Metallurgia
5769,Grave,Centro,Metallurgia
5759,Grave,Centro,Metallurgia
5742,Grave,Centro,Metallurgia
5686,Grave,Centro,Metallurgia
5415,Grave,Centro,Metallurgia
5398,Grave,Centro,Metallurgia
5243,Grave,Centro,Metallurgia
5140,Grave,Centro,Metallurgia
5118,Grave,Centro,Metallurgia
5108,Grave,Centro,Metallurgia
5103,Grave,Centro,Metallurgia
5100,Grave,Centro,Metallurgia
5097,Grave,Centro,Metallurgia
5028,Grave,Centro,Metallurgia
4908,Grave,Centro,Metallurgia
4842,Grave,Centro,Metallurgia
4839,Grave,Centro,Metallurgia
4758,Grave,Centro,Metallurgia
4736,Grave,Centro,Metallurgia
4730,Grave,Centro,Metallurgia
4726,Grave,Centro,Metallurgia
4703,Grave,Centro,Metallurgia
4687,Grave,Centro,Metallurgia
4651,Grave,Centro,Metallurgia
4473,Grave,Centro,Metallurgia
4465,Grave,Centro,Metallurgia
4426,Grave,Centro,Metallurgia
4424,Grave,Centro,Metallurgia
4421,Grave,Centro,Metallurgia
4114,Grave,Centro,Metallurgia
4100,Grave,Centro,Metallurgia
3977,Grave,Centro,Metallurgia
3974,Grave,Centro,Metallurgia
3960,Grave,Centro,Metallurgia
3959,Grave,Centro,Metallurgia
3950,Grave,Centro,Metallurgia
3933,Grave,Centro,Metallurgia
3872,Grave,Centro,Metallurgia
3871,Grave,Centro,Metallurgia
3870,Grave,Centro,Metallurgia
3867,Grave,Centro,Metallurgia
3537,Grave,Centro,Metallurgia
3535,Grave,Centro,Metallurgia
3484,Grave,Centro,Metallurgia
3369,Grave,Centro,Metallurgia
3247,Grave,Centro,Metallurgia
3060,Grave,Centro,Metallurgia
3044,Grave,Centro,Metallurgia
3035,Grave,Centro,Metallurgia
3005,Grave,Centro,Metallurgia
2949,Grave,Centro,Metallurgia
2904,Grave,Centro,Metallurgia
2880,Grave,Centro,Metallurgia
2851,Grave,Centro,Metallurgia
2754,Grave,Centro,Metallurgia
2753,Grave,Centro,Metallurgia
2414,Grave,Centro,Metallurgia
2410,Grave,Centro,Metallurgia
2409,Grave,Centro,Metallurgia
2341,Grave,Centro,Metallurgia
2254,Grave,Centro,Metallurgia
1987,Grave,Centro,Metallurgia
1733,Grave,Centro,Metallurgia
1619,Grave,Centro,Metallurgia
1545,Grave,Centro,Metallurgia
1524,Grave,Centro,Metallurgia
1518,Grave,Centro,Metallurgia
1506,Grave,Centro,Metallurgia
1502,Grave,Centro,Metallurgia
1487,Grave,Centro,Metallurgia
1486,Grave,Centro,Metallurgia
1484,Grave,Centro,Metallurgia
1472,Grave,Centro,Metallurgia
1397,Grave,Centro,Metallurgia
1343,Grave,Centro,Metallurgia
1285,Grave,Centro,Metallurgia
1268,Grave,Centro,Metallurgia
1248,Grave,Centro,Metallurgia
1171,Grave,Centro,Metallurgia
1057,Grave,Centro,Metallurgia
997,Grave,Centro,Metallurgia
889,Grave,Centro,Metallurgia
842,Grave,Centro,Metallurgia
775,Grave,Centro,Metallurgia
747,Grave,Centro,Metallurgia
725,Grave,Centro,Metallurgia
661,Grave,Centro,Metallurgia
619,Grave,Centro,Metallurgia
604,Grave,Centro,Metallurgia
582,Grave,Centro,Metallurgia
568,Grave,Centro,Metallurgia
563,Grave,Centro,Metallurgia
533,Grave,Centro,Metallurgia
524,Grave,Centro,Metallurgia
523,Grave,Centro,Metallurgia
520,Grave,Centro,Metallurgia
483,Grave,Centro,Metallurgia
478,Grave,Centro,Metallurgia
477,Grave,Centro,Metallurgia
411,Grave,Centro,Metallurgia
402,Grave,Centro,Metallurgia
401,Grave,Centro,Metallurgia
355,Grave,Centro,Metallurgia
325,Grave,Centro,Metallurgia
324,Grave,Centro,Metallurgia
319,Grave,Centro,Metallurgia
317,Grave,Centro,Metallurgia
298,Grave,Centro,Metallurgia
297,Grave,Centro,Metallurgia
249,Grave,Centro,Metallurgia
12065,Grave,Centro,FabbricazioneMacchine
11169,Grave,Centro,FabbricazioneMacchine
10135,Grave,Centro,FabbricazioneMacchine
8475,Grave,Centro,FabbricazioneMacchine
8302,Grave,Centro,FabbricazioneMacchine
8290,Grave,Centro,FabbricazioneMacchine
8288,Grave,Centro,FabbricazioneMacchine
8214,Grave,Centro,FabbricazioneMacchine
8213,Grave,Centro,FabbricazioneMacchine
8126,Grave,Centro,FabbricazioneMacchine
8108,Grave,Centro,FabbricazioneMacchine
6331,Grave,Centro,FabbricazioneMacchine
6318,Grave,Centro,FabbricazioneMacchine
6315,Grave,Centro,FabbricazioneMacchine
6246,Grave,Centro,FabbricazioneMacchine
6173,Grave,Centro,FabbricazioneMacchine
5893,Grave,Centro,FabbricazioneMacchine
5767,Grave,Centro,FabbricazioneMacchine
5101,Grave,Centro,FabbricazioneMacchine
4632,Grave,Centro,FabbricazioneMacchine
4572,Grave,Centro,FabbricazioneMacchine
4034,Grave,Centro,FabbricazioneMacchine
4027,Grave,Centro,FabbricazioneMacchine
4003,Grave,Centro,FabbricazioneMacchine
3986,Grave,Centro,FabbricazioneMacchine
3939,Grave,Centro,FabbricazioneMacchine
3596,Grave,Centro,FabbricazioneMacchine
3544,Grave,Centro,FabbricazioneMacchine
3475,Grave,Centro,FabbricazioneMacchine
2981,Grave,Centro,FabbricazioneMacchine
2485,Grave,Centro,FabbricazioneMacchine
2472,Grave,Centro,FabbricazioneMacchine
2467,Grave,Centro,FabbricazioneMacchine
2447,Grave,Centro,FabbricazioneMacchine
2428,Grave,Centro,FabbricazioneMacchine
2385,Grave,Centro,FabbricazioneMacchine
2258,Grave,Centro,FabbricazioneMacchine
2256,Grave,Centro,FabbricazioneMacchine
1953,Grave,Centro,FabbricazioneMacchine
1692,Grave,Centro,FabbricazioneMacchine
1686,Grave,Centro,FabbricazioneMacchine
1512,Grave,Centro,FabbricazioneMacchine
1259,Grave,Centro,FabbricazioneMacchine
905,Grave,Centro,FabbricazioneMacchine
855,Grave,Centro,FabbricazioneMacchine
511,Grave,Centro,FabbricazioneMacchine
489,Grave,Centro,FabbricazioneMacchine
301,Grave,Centro,FabbricazioneMacchine
208,Grave,Centro,FabbricazioneMacchine
10733,Grave,SudEIsole,Metallurgia
10729,Grave,SudEIsole,Metallurgia
10728,Grave,SudEIsole,Metallurgia
10654,Grave,SudEIsole,Metallurgia
10645,Grave,SudEIsole,Metallurgia
10555,Grave,SudEIsole,Metallurgia
10189,Grave,SudEIsole,Metallurgia
8383,Grave,SudEIsole,Metallurgia
8353,Grave,SudEIsole,Metallurgia
8345,Grave,SudEIsole,Metallurgia
8344,Grave,SudEIsole,Metallurgia
8341,Grave,SudEIsole,Metallurgia
8244,Grave,SudEIsole,Metallurgia
6296,Grave,SudEIsole,Metallurgia
5825,Grave,SudEIsole,Metallurgia
5817,Grave,SudEIsole,Metallurgia
5164,Grave,SudEIsole,Metallurgia
5047,Grave,SudEIsole,Metallurgia
4987,Grave,SudEIsole,Metallurgia
4984,Grave,SudEIsole,Metallurgia
4948,Grave,SudEIsole,Metallurgia
4847,Grave,SudEIsole,Metallurgia
4766,Grave,SudEIsole,Metallurgia
4743,Grave,SudEIsole,Metallurgia
4708,Grave,SudEIsole,Metallurgia
4707,Grave,SudEIsole,Metallurgia
4595,Grave,SudEIsole,Metallurgia
4594,Grave,SudEIsole,Metallurgia
4587,Grave,SudEIsole,Metallurgia
